supplier,supplier_sku,product_name,decoration_option_key,decoration_method,decoration_area,decoration_location,artwork_size_label,max_width_mm,max_height_mm,pricing_model,price_status,setup_cost,repeat_setup_cost,setup_cost_label,pricing_basis,additional_colour_policy,source_row_number,raw_json
Gear For Life,POATB,Artisan Tasting Board Set,poatb|laser_engraving|board_40x40mm_or_equivalent|40x40mm,Laser Engraving,Board - 40x40mm (or equivalent),Board,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,15,"{""source_row_number"": 15, ""raw_location"": ""Board - 40x40mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POATB,Artisan Tasting Board Set,poatb|laser_engraving|knife_blade_50x20mm|50x20mm,Laser Engraving,Knife/Blade - 50x20mm,Knife/Blade,50x20mm,50.00,20.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,16,"{""source_row_number"": 16, ""raw_location"": ""Knife/Blade - 50x20mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBWD,Barolo Wine Decanter,pobwd|pad_printing|box_50x30mm|50x30mm,Pad Printing,Box - 50x30mm,Box,50x30mm,50.00,30.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,17,"{""source_row_number"": 17, ""raw_location"": ""Box - 50x30mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POBWD,Barolo Wine Decanter,pobwd|laser_engraving|box_40x40mm_or_equivalent|40x40mm,Laser Engraving,Box - 40x40mm (or equivalent),Box,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,18,"{""source_row_number"": 18, ""raw_location"": ""Box - 40x40mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBT,BBQ Grill Tool Set,pobt|laser_engraving|all_3_tools_handles_45x15mm|45x15mm,Laser Engraving,All 3 Tools (Handles) - 45x15mm,All 3 Tools (Handles),45x15mm,45.00,15.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,19,"{""source_row_number"": 19, ""raw_location"": ""All 3 Tools (Handles) - 45x15mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBCGS,Beer Can Glass Set,pobcgs|pad_printing|box_lid_max_70x40mm|70x40mm,Pad Printing,Box Lid - max 70x40mm,Box Lid,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,20,"{""source_row_number"": 20, ""raw_location"": ""Box Lid - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POBCGS,Beer Can Glass Set,pobcgs|pad_printing|all_4_glasses_35x35mm|35x35mm,Pad Printing,All 4 Glasses - 35x35mm,All 4 Glasses,35x35mm,35.00,35.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,21,"{""source_row_number"": 21, ""raw_location"": ""All 4 Glasses - 35x35mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|uvdtf_full_colour_small|knife_20x20mm|20x20mm,UVDTF Full Colour - Small,Knife - 20x20mm,Knife,20x20mm,20.00,20.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,22,"{""source_row_number"": 22, ""raw_location"": ""Knife - 20x20mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|uvdtf_full_colour_small|wooden_box_20x20mm|20x20mm,UVDTF Full Colour - Small,Wooden Box - 20x20mm,Wooden Box,20x20mm,20.00,20.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,23,"{""source_row_number"": 23, ""raw_location"": ""Wooden Box - 20x20mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|uvdtf_full_colour_small|wooden_box_50x50mm|50x50mm,UVDTF Full Colour - Small,Wooden Box - 50x50mm,Wooden Box,50x50mm,50.00,50.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,24,"{""source_row_number"": 24, ""raw_location"": ""Wooden Box - 50x50mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|pad_printing|box_max_70x40mm|70x40mm,Pad Printing,Box - max 70x40mm,Box,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,25,"{""source_row_number"": 25, ""raw_location"": ""Box - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|pad_printing|knife_15x10mm|15x10mm,Pad Printing,Knife - 15x10mm,Knife,15x10mm,15.00,10.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,26,"{""source_row_number"": 26, ""raw_location"": ""Knife - 15x10mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|laser_engraving|knife_blade_40x10mm|40x10mm,Laser Engraving,Knife (Blade) - 40x10mm,Knife (Blade),40x10mm,40.00,10.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,27,"{""source_row_number"": 27, ""raw_location"": ""Knife (Blade) - 40x10mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|laser_engraving|knife_handle_15x15mm|15x15mm,Laser Engraving,Knife (Handle) - 15x15mm,Knife (Handle),15x15mm,15.00,15.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,28,"{""source_row_number"": 28, ""raw_location"": ""Knife (Handle) - 15x15mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,IGBCPK,BladeCraft Pocket Knife,igbcpk|laser_engraving|on_wooden_box_40x40mm|40x40mm,Laser Engraving,On Wooden Box - 40x40mm,On Wooden Box,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,29,"{""source_row_number"": 29, ""raw_location"": ""On Wooden Box - 40x40mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBCS,Bordeaux Carving Set,pobcs|pad_printing|box_50x20mm|50x20mm,Pad Printing,Box - 50x20mm,Box,50x20mm,50.00,20.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,30,"{""source_row_number"": 30, ""raw_location"": ""Box - 50x20mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POBCS,Bordeaux Carving Set,pobcs|pad_printing|knife_decoration|,Pad Printing,Knife decoration,Knife decoration,,,,sku_location_qty,unavailable,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,31,"{""source_row_number"": 31, ""raw_location"": ""Knife decoration"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POBCS,Bordeaux Carving Set,pobcs|laser_engraving|box_50x20mm_or_equivalent|50x20mm,Laser Engraving,Box - 50x20mm (or equivalent),Box,50x20mm,50.00,20.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,32,"{""source_row_number"": 32, ""raw_location"": ""Box - 50x20mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBCS,Bordeaux Carving Set,pobcs|laser_engraving|all_2_tools_blades_30x10mm|30x10mm,Laser Engraving,All 2 Tools (Blades) - 30x10mm,All 2 Tools (Blades),30x10mm,30.00,10.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,33,"{""source_row_number"": 33, ""raw_location"": ""All 2 Tools (Blades) - 30x10mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBCK,Bordeaux Cheese Knife 3 pcs Set,pobck|pad_printing|box_50x30mm|50x30mm,Pad Printing,Box - 50x30mm,Box,50x30mm,50.00,30.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,34,"{""source_row_number"": 34, ""raw_location"": ""Box - 50x30mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POBCK,Bordeaux Cheese Knife 3 pcs Set,pobck|pad_printing|knife_decoration|,Pad Printing,Knife decoration,Knife decoration,,,,sku_location_qty,unavailable,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,35,"{""source_row_number"": 35, ""raw_location"": ""Knife decoration"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POBCK,Bordeaux Cheese Knife 3 pcs Set,pobck|laser_engraving|box_40x40mm_or_equivalent|40x40mm,Laser Engraving,Box - 40x40mm (or equivalent),Box,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,36,"{""source_row_number"": 36, ""raw_location"": ""Box - 40x40mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POBCK,Bordeaux Cheese Knife 3 pcs Set,pobck|laser_engraving|all_3_knives_blades_30x10mm|30x10mm,Laser Engraving,All 3 Knives (Blades) - 30x10mm,All 3 Knives (Blades),30x10mm,30.00,10.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,37,"{""source_row_number"": 37, ""raw_location"": ""All 3 Knives (Blades) - 30x10mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCS,Carving Set,pocs|pad_printing|box_50x30mm|50x30mm,Pad Printing,Box - 50x30mm,Box,50x30mm,50.00,30.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,38,"{""source_row_number"": 38, ""raw_location"": ""Box - 50x30mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCS,Carving Set,pocs|pad_printing|all_3_tools_handles_40x10mm_or_20x20mm|40x10mm,Pad Printing,All 3 Tools (Handles) - 40x10mm or 20x20mm,All 3 Tools (Handles),40x10mm,40.00,10.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,39,"{""source_row_number"": 39, ""raw_location"": ""All 3 Tools (Handles) - 40x10mm or 20x20mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCS,Carving Set,pocs|laser_engraving|box_40x40mm_or_equivalent|40x40mm,Laser Engraving,Box - 40x40mm (or equivalent),Box,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,40,"{""source_row_number"": 40, ""raw_location"": ""Box - 40x40mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCS,Carving Set,pocs|laser_engraving|knife_and_fork_tools_60x10mm_or_20x20mm|60x10mm,Laser Engraving,Knife & Fork Tools - 60x10mm or 20x20mm,Knife & Fork Tools,60x10mm,60.00,10.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,41,"{""source_row_number"": 41, ""raw_location"": ""Knife & Fork Tools - 60x10mm or 20x20mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCS,Carving Set,pocs|laser_engraving|all_3_tools_blade_or_handle_60x10mm_or_20x20mm|60x10mm,Laser Engraving,All 3 Tools (Blade or Handle) - 60x10mm or 20x20mm,All 3 Tools (Blade or Handle),60x10mm,60.00,10.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,42,"{""source_row_number"": 42, ""raw_location"": ""All 3 Tools (Blade or Handle) - 60x10mm or 20x20mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|uvdtf_full_colour_small|bottle_20x20mm|20x20mm,UVDTF Full Colour - Small,Bottle - 20x20mm,Bottle,20x20mm,20.00,20.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,43,"{""source_row_number"": 43, ""raw_location"": ""Bottle - 20x20mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|uvdtf_full_colour_small|bottle_50x50mm|50x50mm,UVDTF Full Colour - Small,Bottle - 50x50mm,Bottle,50x50mm,50.00,50.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,44,"{""source_row_number"": 44, ""raw_location"": ""Bottle - 50x50mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|pad_printing|bottle_45x45mm|45x45mm,Pad Printing,Bottle - 45x45mm,Bottle,45x45mm,45.00,45.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,45,"{""source_row_number"": 45, ""raw_location"": ""Bottle - 45x45mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|pad_printing|lid_35mm_dia|,Pad Printing,Lid - 35mm Dia,Lid,,,,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,46,"{""source_row_number"": 46, ""raw_location"": ""Lid - 35mm Dia"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|pad_printing|packaging_45x45mm|45x45mm,Pad Printing,Packaging - 45x45mm,Packaging,45x45mm,45.00,45.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,47,"{""source_row_number"": 47, ""raw_location"": ""Packaging - 45x45mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|laser_engraving|bottle_35x45mm_or_20x80mm|35x45mm,Laser Engraving,Bottle - 35x45mm or 20x80mm,Bottle,35x45mm,35.00,45.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,48,"{""source_row_number"": 48, ""raw_location"": ""Bottle - 35x45mm or 20x80mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCHB,Chill Hydro Bottle,pochb|laser_engraving|lid_35mm_dia|,Laser Engraving,Lid - 35mm Dia,Lid,,,,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,49,"{""source_row_number"": 49, ""raw_location"": ""Lid - 35mm Dia"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,IGCGB,ChillGuard 1L Bottle,igcgb|uvdtf_full_colour_small|bottle_20x20mm|20x20mm,UVDTF Full Colour - Small,Bottle - 20x20mm,Bottle,20x20mm,20.00,20.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,50,"{""source_row_number"": 50, ""raw_location"": ""Bottle - 20x20mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,IGCGB,ChillGuard 1L Bottle,igcgb|uvdtf_full_colour_small|bottle_50x50mm|50x50mm,UVDTF Full Colour - Small,Bottle - 50x50mm,Bottle,50x50mm,50.00,50.00,sku_location_qty,priced,75.00,,New Setup $75.00,per_unit,,51,"{""source_row_number"": 51, ""raw_location"": ""Bottle - 50x50mm"", ""raw_method"": ""UVDTF Full Colour - Small"", ""raw_setup"": ""New Setup $75.00""}"
Gear For Life,IGCGB,ChillGuard 1L Bottle,igcgb|pad_printing|box_max_70x40mm|70x40mm,Pad Printing,Box - max 70x40mm,Box,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,52,"{""source_row_number"": 52, ""raw_location"": ""Box - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,IGCGB,ChillGuard 1L Bottle,igcgb|pad_printing|bottle_45x45mm|45x45mm,Pad Printing,Bottle - 45x45mm,Bottle,45x45mm,45.00,45.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,53,"{""source_row_number"": 53, ""raw_location"": ""Bottle - 45x45mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,IGCGB,ChillGuard 1L Bottle,igcgb|laser_engraving|bottle_35x40mm_or_20x80mm|35x40mm,Laser Engraving,Bottle - 35x40mm or 20x80mm,Bottle,35x40mm,35.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,54,"{""source_row_number"": 54, ""raw_location"": ""Bottle - 35x40mm or 20x80mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCCB,Clamshell Cheese Board,poccb|pad_printing|box_lid_max_70x40mm|70x40mm,Pad Printing,Box Lid - max 70x40mm,Box Lid,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,55,"{""source_row_number"": 55, ""raw_location"": ""Box Lid - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCCB,Clamshell Cheese Board,poccb|pad_printing|all_4_utensils_10x20mm|10x20mm,Pad Printing,All 4 Utensils - 10x20mm,All 4 Utensils,10x20mm,10.00,20.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,56,"{""source_row_number"": 56, ""raw_location"": ""All 4 Utensils - 10x20mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCCB,Clamshell Cheese Board,poccb|laser_engraving|board_40x40mm_or_equivalent|40x40mm,Laser Engraving,Board - 40x40mm (or equivalent),Board,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,57,"{""source_row_number"": 57, ""raw_location"": ""Board - 40x40mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCCB,Clamshell Cheese Board,poccb|laser_engraving|all_4_utensils_10x20mm|10x20mm,Laser Engraving,All 4 Utensils - 10x20mm,All 4 Utensils,10x20mm,10.00,20.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,58,"{""source_row_number"": 58, ""raw_location"": ""All 4 Utensils - 10x20mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POCBGS,Craft Beer Glass Set,pocbgs|pad_printing|box_lid_max_70x40mm|70x40mm,Pad Printing,Box Lid - max 70x40mm,Box Lid,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,59,"{""source_row_number"": 59, ""raw_location"": ""Box Lid - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCBGS,Craft Beer Glass Set,pocbgs|pad_printing|all_3_glasses_30x20mm|30x20mm,Pad Printing,All 3 Glasses - 30x20mm,All 3 Glasses,30x20mm,30.00,20.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,60,"{""source_row_number"": 60, ""raw_location"": ""All 3 Glasses - 30x20mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POCBGS,Craft Beer Glass Set,pocbgs|laser_engraving|all_3_glasses_35x35mm|35x35mm,Laser Engraving,All 3 Glasses - 35x35mm,All 3 Glasses,35x35mm,35.00,35.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,61,"{""source_row_number"": 61, ""raw_location"": ""All 3 Glasses - 35x35mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,PODCS,Decadent Cocktail 10 pcs Set,podcs|pad_printing|shaker_45x45mm|45x45mm,Pad Printing,Shaker - 45x45mm,Shaker,45x45mm,45.00,45.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,62,"{""source_row_number"": 62, ""raw_location"": ""Shaker - 45x45mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,PODCS,Decadent Cocktail 10 pcs Set,podcs|pad_printing|packaging_45x45mm|45x45mm,Pad Printing,Packaging - 45x45mm,Packaging,45x45mm,45.00,45.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,63,"{""source_row_number"": 63, ""raw_location"": ""Packaging - 45x45mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,PODCS,Decadent Cocktail 10 pcs Set,podcs|laser_engraving|shaker_35x45mm_or_20x80mm|35x45mm,Laser Engraving,Shaker - 35x45mm or 20x80mm,Shaker,35x45mm,35.00,45.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,64,"{""source_row_number"": 64, ""raw_location"": ""Shaker - 35x45mm or 20x80mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
