slug,page_type,source_type,page_role,filter_type,filter_keys,category,subcategory,material,tags,kit_themes,offer_types,required_product_fields,query_shape,empty_page_policy
corporate-tech-gifts-australia,product_category,category,,category,category,Technology,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-headwear-australia,product_category,category,,category,category,Headwear,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-packaging-australia,product_category,category,,category,category,Packaging,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-personal-care-products-australia,product_category,category,,category,category,Personal Care,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-pet-products-australia,product_category,category,,category,category,Pet,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
promotional-toys-and-games-australia,product_category,category,,category,category,Toys & Games,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-lanyards-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Lanyards,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
id-card-holders-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,ID Holders,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-wristbands-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Wristbands,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-badges-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Badges,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-fridge-magnets-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Magnets,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
temporary-tattoos-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Temporary Tattoos,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-balloons-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Balloons,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
promotional-stickers-and-patches-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Stickers & Patches,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
novelty-giveaways-australia,product_category,subcategory,,subcategory,"category,subcategory",Giveaways & Event Accessories,Novelty Giveaways,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
promotional-sports-products-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Sports Products,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-golf-products-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Golf Products,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-umbrellas-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Umbrellas,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-towels-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Towels,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
camping-gear-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Camping & Outdoors,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
picnic-and-bbq-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Picnic & BBQ,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-sunglasses-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Sunglasses,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
picnic-blankets-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Blankets,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-supporter-gear-australia,product_category,subcategory,,subcategory,"category,subcategory",Outdoor & Sports,Supporter Gear,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-kitchenware-australia,product_category,subcategory,,subcategory,"category,subcategory",Home & Living,Kitchen & Dining,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
cheese-boards-australia,product_category,subcategory,,subcategory,"category,subcategory",Home & Living,Cheese & Serving Boards,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
promotional-home-decor-australia,product_category,subcategory,,subcategory,"category,subcategory",Home & Living,Home Decor,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
candles-and-diffusers-australia,product_category,subcategory,,subcategory,"category,subcategory",Home & Living,Candles & Diffusers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-luggage-tags-australia,product_category,subcategory,,subcategory,"category,subcategory",Travel,Luggage Tags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
passport-holders-australia,product_category,subcategory,,subcategory,"category,subcategory",Travel,Passport Holders,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
travel-wallets-australia,product_category,subcategory,,subcategory,"category,subcategory",Travel,Travel Wallets,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
travel-pillows-australia,product_category,subcategory,,subcategory,"category,subcategory",Travel,Travel Pillows & Comfort,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
travel-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Travel,Travel Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-multi-tools-australia,product_category,subcategory,,subcategory,"category,subcategory",Tools & Auto,Multi-Tools,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-tape-measures-australia,product_category,subcategory,,subcategory,"category,subcategory",Tools & Auto,Tape Measures,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-torches-australia,product_category,subcategory,,subcategory,"category,subcategory",Tools & Auto,Torches & Lights,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
tool-sets-australia,product_category,subcategory,,subcategory,"category,subcategory",Tools & Auto,Tool Sets & Screwdrivers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
car-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Tools & Auto,Car Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-coasters-australia,product_category,subcategory,,subcategory,"category,subcategory",Barware & Accessories,Coasters,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-bottle-openers-australia,product_category,subcategory,,subcategory,"category,subcategory",Barware & Accessories,Bottle Openers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-stubby-holders-australia,product_category,subcategory,,subcategory,"category,subcategory",Barware & Accessories,Stubby Holders,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-bar-mats-australia,product_category,subcategory,,subcategory,"category,subcategory",Barware & Accessories,Bar Mats,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
branded-wine-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Barware & Accessories,Wine Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
bar-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Barware & Accessories,Bar Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-metal-keyrings-australia,product_category,subcategory,,subcategory,"category,subcategory",Key Rings,Metal Keyrings,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
leather-keyrings-australia,product_category,subcategory,,subcategory,"category,subcategory",Key Rings,Leather Keyrings,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
silicone-keyrings-australia,product_category,subcategory,,subcategory,"category,subcategory",Key Rings,Silicone & PVC Keyrings,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
eco-keyrings-australia,product_category,subcategory,,subcategory,"category,subcategory",Key Rings,Eco Keyrings,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
functional-keyrings-australia,product_category,subcategory,,subcategory,"category,subcategory",Key Rings,Functional Keyrings,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
novelty-keyrings-australia,product_category,subcategory,,subcategory,"category,subcategory",Key Rings,Novelty Keyrings,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-feather-flags-australia,product_category,subcategory,,subcategory,"category,subcategory",Flags & Displays,Feather & Teardrop Flags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
pull-up-banners-australia,product_category,subcategory,,subcategory,"category,subcategory",Flags & Displays,Pull Up Banners,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
media-walls-australia,product_category,subcategory,,subcategory,"category,subcategory",Flags & Displays,Media Walls,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-marquees-australia,product_category,subcategory,,subcategory,"category,subcategory",Flags & Displays,Marquees,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-table-covers-australia,product_category,subcategory,,subcategory,"category,subcategory",Flags & Displays,Table Covers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
a-frame-signage-australia,product_category,subcategory,,subcategory,"category,subcategory",Flags & Displays,A-Frames & Signage,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-stickers-australia,product_category,subcategory,,subcategory,"category,subcategory",Marketing Materials,Labels & Stickers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
resin-labels-australia,product_category,subcategory,,subcategory,"category,subcategory",Marketing Materials,Resin Labels,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
business-cards-australia,product_category,subcategory,,subcategory,"category,subcategory",Marketing Materials,Business Cards,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
branded-notebooks-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Notebooks,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-note-pads-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Note Pads,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-planners-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Pads & Planners,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-sticky-notes-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Sticky Notes,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-stationery-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Stationery,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
desk-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Desk Items,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-compendiums-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Portfolios & Compendiums,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-pencil-cases-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Pencil Cases,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-rulers-australia,product_category,subcategory,,subcategory,"category,subcategory",Office & Desk,Rulers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-tote-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Tote Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-cotton-tote-bags-australia,product_category,manual,,compound,"category,material",Bags,,Cotton,,,,category|is_published|material_tags/tags/is_eco,category exact match + one normalized attribute filter,"Allowed during tagging cleanup only. Before live, each compound SEO page needs products or status=draft."
custom-cooler-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Cooler Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-backpacks-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Backpacks,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-paper-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Paper Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-drawstring-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Drawstring Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-duffle-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Travel & Duffle Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-toiletry-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Toiletry Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
jute-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Jute Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-laptop-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Laptop Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
wine-carriers-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Wine Carriers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
crossbody-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Crossbody & Belt Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
satchel-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Satchel Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
dry-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Bags,Dry Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-t-shirts-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,T-Shirts,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-polo-shirts-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Polo Shirts,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-hoodies-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Hoodies,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-sweatshirts-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Sweatshirts,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-jackets-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Jackets,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-shirts-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Shirts,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-vests-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Vests,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
workwear-pants-and-shorts-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Pants & Shorts,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
branded-workwear-australia,product_category,manual,,compound,"category,tags",Apparel,,,workwear,,,category|is_published|material_tags/tags/is_eco,category exact match + one normalized attribute filter,"Allowed during tagging cleanup only. Before live, each compound SEO page needs products or status=draft."
custom-teamwear-australia,product_category,manual,,compound,"category,tags",Apparel,,,teamwear,,,category|is_published|material_tags/tags/is_eco,category exact match + one normalized attribute filter,"Allowed during tagging cleanup only. Before live, each compound SEO page needs products or status=draft."
custom-aprons-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Aprons,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-socks-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Socks,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
branded-scarves-and-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Apparel,Scarves & Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-drink-bottles-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Drink Bottles,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-coffee-cups-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Coffee Cups,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-travel-mugs-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Travel Mugs,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-tumblers-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Tumblers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-mugs-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Mugs,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
branded-glassware-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Glassware,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-flasks-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Flasks,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-teaware-australia,product_category,subcategory,,subcategory,"category,subcategory",Drinkware,Teaware,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-ballpoint-pens-australia,product_category,subcategory,,subcategory,"category,subcategory",Pens,Ballpoint Pens,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-metal-pens-australia,product_category,manual,,compound,"category,material",Pens,,Metal,,,,category|is_published|material_tags/tags/is_eco,category exact match + one normalized attribute filter,"Allowed during tagging cleanup only. Before live, each compound SEO page needs products or status=draft."
custom-plastic-pens-australia,product_category,manual,,compound,"category,material",Pens,,Plastic,,,,category|is_published|material_tags/tags/is_eco,category exact match + one normalized attribute filter,"Allowed during tagging cleanup only. Before live, each compound SEO page needs products or status=draft."
custom-stylus-pens-australia,product_category,subcategory,,subcategory,"category,subcategory",Pens,Stylus Pens,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-highlighters-australia,product_category,subcategory,,subcategory,"category,subcategory",Pens,Highlighters,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-markers-australia,product_category,subcategory,,subcategory,"category,subcategory",Pens,Markers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
eco-pens-australia,product_category,manual,,compound,"category,is_eco",Pens,,,,,,category|is_published|material_tags/tags/is_eco,category exact match + one normalized attribute filter,"Allowed during tagging cleanup only. Before live, each compound SEO page needs products or status=draft."
custom-pencils-australia,product_category,subcategory,,subcategory,"category,subcategory",Pens,Pencils,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-power-banks-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Power Banks,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-bluetooth-speakers-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Bluetooth Speakers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-earbuds-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Earbuds & Headphones,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-charging-cables-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Charging Cables & Chargers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
wireless-chargers-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Wireless Chargers,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-phone-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Phone Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-usb-drives-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,USB Flash Drives,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
tech-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Technology,Tech Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-caps-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Caps,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-beanies-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Beanies,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-bucket-hats-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Bucket Hats,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
