rule_id,priority,keyword_regex,exclude_regex,target_category,target_subcategory,confidence,suggested_tags,suggested_material,note
APP-030,720,\bhoodie\b,,Apparel,Hoodies,0.94,,,
APP-040,730,\bpullover\b|\bsweatshirt\b|\bsweater\b|\bjersey\b,,Apparel,Sweatshirts,0.84,,,
APP-050,740,\bjacket\b|\banorak\b|\bponcho\b,,Apparel,Jackets,0.88,,,
APP-060,750,\bshirt\b,t[- ]?shirt|polo,Apparel,Shirts,0.84,,,
APP-070,760,\bvest\b,,Apparel,Vests,0.9,,,
APP-080,770,\b(shorts?|pants?|trousers)\b,,Apparel,Pants & Shorts,0.9,,,
APP-090,780,\bapron\b,,Apparel,Aprons,0.92,,,
APP-100,790,\bsocks?\b,,Apparel,Socks,0.92,,,
APP-110,800,\bscarf\b|\bgloves?\b|\btie\b|\bscrunchie\b|\bbandana\b|\bslides?\b,,Apparel,Scarves & Accessories,0.82,,,
PEN-010,900,\bstylus\s+pen\b|\bstylus\b,,Pens,Stylus Pens,0.9,,,
PEN-020,910,\bhighlighter\b,,Pens,Highlighters,0.95,,,
PEN-030,920,\bmarker\b,,Pens,Markers,0.92,,,
PEN-040,930,\bpencil\b,pencil\s+case,Pens,Pencils,0.9,,,
PEN-050,940,\b(ballpoint|pen)\b,pencil|case|holder,Pens,Ballpoint Pens,0.84,,,
OFF-010,1000,\bnotebook\b|\bjournal\b,,Office & Desk,Notebooks,0.92,,,
OFF-020,1010,\bnote\s*pad\b|\bnotepad\b,,Office & Desk,Note Pads,0.92,,,
OFF-030,1020,\bplanner\b|\bcalendar\b|\bdiary\b,,Office & Desk,Pads & Planners,0.86,,,
OFF-040,1030,\bsticky\s+note\b,,Office & Desk,Sticky Notes,0.95,,,
OFF-050,1040,\bruler\b,,Office & Desk,Rulers,0.95,,,
OFF-060,1050,\bpencil\s+case\b,,Office & Desk,Pencil Cases,0.95,,,
OFF-070,1060,\bportfolio\b|\bcompendium\b,,Office & Desk,Portfolios & Compendiums,0.92,,,
OFF-080,1070,\bdesk\b|\bmouse\s+mat\b|\bmousepad\b|\bcounter\s+mat\b|\bwhiteboard\b|\bto\s+do\s+list\b,,Office & Desk,Desk Items,0.82,,,
TOY-010,1100,\bstress\b|\bsqueeze\b,,Toys & Games,Stress Balls & Toys,0.94,,,
TOY-020,1110,\bplush\b|\bteddy\b,,Toys & Games,Plush Toys,0.95,,,
TOY-030,1120,\bwooden\s+(model|toy)|model\s+(car|plane|truck|kit)\b,,Toys & Games,Wooden Toys & Models,0.88,,,
TOY-040,1130,\bpuzzle\b|\bgame\b|\bskittle\b|\bplaying\s+cards?\b,,Toys & Games,Games & Puzzles,0.88,,,
TOY-050,1140,\bfrisbee\b|\bflying\s+disc\b|\bbeach\s+ball\b|\bfootball\s+rocket\b|\bbounce\s+ball\b|\bpopper\s+wrist\s+disc\b,,Toys & Games,Outdoor Toys,0.9,,,
TOY-060,1150,\bcrayon\b|\bcolouring\b|\bcoloring\b|\bchalk\b|\billustrator\b,,Toys & Games,Colouring & Kids Sets,0.94,,,
TOY-070,1160,\bfidget\b|\byo[- ]?yo\b|\bcap\s+gun\b|\bspinner\b|\bspinzy\b|\bbubble\b|\bpopper\b|\bsensory\b|\brainbow\s+serpent\b|\bkaraoke\b,,Toys & Games,Novelty Toys,0.86,,,
OUT-010,1200,\bumbrella\b,,Outdoor & Sports,Umbrellas,0.95,,,
OUT-020,1210,\btowel\b|\bface\s+washer\b|\bbath\s+sheet\b,,Outdoor & Sports,Towels,0.9,,,
OUT-030,1220,\bgolf\b,,Outdoor & Sports,Golf Products,0.92,,,
OUT-040,1230,\bfootball\b|\bsoccer\b|\bbasketball\b|\btennis\s+ball\b|\bpickleball\b|\bsports?\s+ball\b|\bbat\s*&\s*ball\b|\bball\s+set\b,,Outdoor & Sports,Sports Products,0.86,,,
OUT-050,1240,\bpicnic\b|\bbbq\b|\bbarbecue\b,,Outdoor & Sports,Picnic & BBQ,0.86,,,
OUT-060,1250,\bsunglasses\b|\bsunnies\b,,Outdoor & Sports,Sunglasses,0.95,,,
OUT-070,1260,\bblanket\b|\bthrow\b|\bleisure\s+mat\b|\bbeach\s+mat\b,,Outdoor & Sports,Blankets,0.88,,,
OUT-080,1270,\bcamp\b|\bcamping\b|\bfolding\s+chair\b|\bleisure\s+chair\b|\bbeach\s+chair\b|\bcarabiner\b,keyring|key\s*ring|multi|tool,Outdoor & Sports,Camping & Outdoors,0.84,,,
OUT-090,1280,\b(fan|fans)\b,,Outdoor & Sports,Supporter Gear,0.78,,,Use for handheld/supporter fans; review if powered fan.
TOOL-010,1300,\btape\s+measure\b|\bcaliper\b,,Tools & Auto,Tape Measures,0.94,,,
TOOL-020,1310,\btorch\b|\bheadlamp\b|\bflashlight\b|\binspection\s+light\b|\bcamp\s+light\b,,Tools & Auto,Torches & Lights,0.9,,,
TOOL-030,1320,\bmulti[- ]?tool\b|\bpocket\s+knife\b,,Tools & Auto,Multi-Tools,0.9,,,
TOOL-040,1330,\bscrewdriver\b|\btool\s+set\b|\btool\s+kit\b,,Tools & Auto,Tool Sets & Screwdrivers,0.9,,,
TOOL-050,1340,\bcar\s+(sunshade|shade|air\s+freshener|organiser|organizer)|ice\s+scraper\b,,Tools & Auto,Car Accessories,0.88,,,
TRAV-010,1400,\bluggage\s+tag\b,,Travel,Luggage Tags,0.95,,,
TRAV-020,1410,\bpassport\b,,Travel,Passport Holders,0.95,,,
TRAV-030,1420,\brfid\s+wallet\b|\btravel\s+wallet\b,,Travel,Travel Wallets,0.9,,,
TRAV-040,1430,\btravel\s+pillow\b|\bneck\s+pillow\b|\beye\s+mask\b|\bear\s+plug\b,,Travel,Travel Pillows & Comfort,0.92,,,
TRAV-050,1440,\bluggage\s+(strap|scale|lock)|\btsa\b|\btravel\s+set\b,,Travel,Travel Accessories,0.84,,,
HOME-010,1500,\bcheese\s+board\b|\bserving\s+board\b|\bserveware\b|\bpaddle\s+board\b|\bcharcuterie\b|\btasting\s+board\b,,Home & Living,Cheese & Serving Boards,0.88,,,
HOME-020,1510,\bcutting\s+board\b|\bchopping\s+board\b|\bcutlery\b|\bkitchen\b|\blunch\s+box\b|\bplacemat\b|\btable\b,,Home & Living,Kitchen & Dining,0.84,,,
HOME-030,1520,\bcandle\b|\bdiffuser\b,,Home & Living,Candles & Diffusers,0.92,,,
HOME-040,1530,\blamp\b|\blantern\b|\bphoto\s+frame\b|\bcushion\b,camp\s+light,Home & Living,Home Decor,0.82,,,
MKT-010,1600,\bbusiness\s+card\b|\bloyalty\s+card\b,,Marketing Materials,Business Cards,0.9,,,
MKT-020,1610,\bresin\s+label\b|\bdome\s+label\b,,Marketing Materials,Resin Labels,0.92,,,
MKT-030,1620,\blabel\b|\bsticker\b,promotional\s+sticker|patch,Marketing Materials,Labels & Stickers,0.82,,,
PKG-010,1700,\bgift\s+box\b|\bbox\b,lunch\s+box,Packaging,Gift Boxes,0.84,,,
PKG-020,1710,\bgift\s+bag\b,,Packaging,Gift Bags,0.9,,,
PKG-030,1720,\bgift\s+tube\b|\btube\b,,Packaging,Gift Tubes,0.86,,,
PKG-040,1730,\btissue\s+paper\b|\bwrapping\s+paper\b,,Packaging,Tissue & Wrapping,0.9,,,
PKG-050,1740,\bribbon\b|\bgift\s+tag\b,,Packaging,Ribbons & Gift Tags,0.9,,,
PKG-060,1750,\bgreeting\s+card\b|\bmessage\s+card\b|\bgift\s+card\b,,Packaging,Greeting & Gift Cards,0.86,,,
PKG-070,1760,\bpouch\b,,Packaging,Pouches,0.62,,,Only safe when source path is packaging-oriented.
PC-010,1800,\blip\s+balm\b,,Personal Care,Lip Balms,0.95,,,
PC-020,1810,\bsanitiser\b|\bsanitizer\b|\bwet\s+wipes?\b,,Personal Care,Hand Sanitiser,0.9,,,
PC-030,1820,\bface\s+mask\b,,Personal Care,Face Masks,0.95,,,
PC-040,1830,\bsunscreen\b|\blotion\b,,Personal Care,Sunscreen & Lotions,0.94,,,
PC-050,1840,\bfirst\s+aid\b,,Personal Care,First Aid,0.95,,,
PC-060,1850,\bmanicure\b|\bnail\b,,Personal Care,Manicure Sets,0.9,,,
PC-070,1860,\bmirror\b|\bbeauty\b,,Personal Care,Mirrors & Beauty Accessories,0.84,,,
PC-080,1870,\bbath\b|\bsoap\b|\bspa\b|\bmassager\b,,Personal Care,Bath & Body,0.84,,,
PC-090,1880,\bcomb\b|\btoothbrush\b|\bgrooming\b|\bhair\s+detangler\b,,Personal Care,Grooming,0.86,,,
PET-010,1900,\bpet\b|\bdog\b|\bcat\b|\bleash\b|\bpet\s+bowl\b,,Pet,Pet Accessories,0.88,,,
CONF-010,2000,\bchocolate\b|\bmint\b|\blolly\b|\blollies\b|\bsweet\b|\bgum\b|\bcandy\b,,Confectionery,Confectionery,0.88,,,
DISPLAY-010,2100,\bfeather\s+flag\b|\bteardrop\s+flag\b|\btear\s+drop\s+flag\b,,Flags & Displays,Feather & Teardrop Flags,0.95,,,
DISPLAY-020,2110,\bpull\s*up\s+banner\b|\broll\s*up\s+banner\b,,Flags & Displays,Pull Up Banners,0.95,,,
DISPLAY-030,2120,\bmedia\s+wall\b,,Flags & Displays,Media Walls,0.95,,,
DISPLAY-040,2130,\bmarquee\b,,Flags & Displays,Marquees,0.95,,,
DISPLAY-050,2140,\btable\s+(cover|cloth)\b,,Flags & Displays,Table Covers,0.94,,,
DISPLAY-060,2150,\ba[- ]?frame\b|\bcore\s*flute\b|\bsignage\b,,Flags & Displays,A-Frames & Signage,0.88,,,
