supplier,source_field,raw_category_1,raw_category_2,raw_category_3,raw_category_4,raw_category_path,sku_count,source_row_count,example_skus_products,raw_path_type_guess,target_category,target_subcategory,confidence,mapping_status,review_reason,suggested_tags,suggested_material,suggested_fulfillment,mapping_note
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Singlets,,,Clothing / Singlets,7,7,ODGSS: Dri Gear Spliced Zenith Singlet - Mens | OWDGSS: Dri Gear Spliced Zenith Singlet - Womens | OYDGSS: Youth Dri Gear Spliced Zenith Singlet | ODGS(P): Dri Gear Plain Singlet - Mens | OWDGS(P): Dri Gear Plain Singlet - Womens,product_category_candidate,Apparel,T-Shirts,0.86,auto_mapped_by_keyword,,,,,All 7 products matched one high-confidence target by product keywords: Apparel > T-Shirts.
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Fleece,,,Clothing / Fleece,6,6,DET: Youth Detailed Polar Fleece Pullover | DET(Y): Detailed Polar Fleece Pullover | EMJ: Explorer Microfleece Jacket | IPJ: Ice Vista Jacket - Mens | OIPV: Ice Vista Vest - Mens,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=5, unresolved=1, conflict=0. Top targets: Apparel > Sweatshirts:2, Apparel > Jackets:2, Apparel > Vests:1"
Gear For Life,Categorisation + category_ /_ sub category,Home & Living,Kitchenware,,,Home & Living / Kitchenware,6,6,POBCS: Bordeaux Carving Set | POBCK: Bordeaux Cheese Knife 3 pcs Set | POFCK: Fetta Cheese Knife | POFCKS: Formaggio Cheese Knife 6 pcs Set | POSK: Steak Knife 6 pcs Set,product_category_candidate,Home & Living,Kitchen & Dining,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,,,,Leisure & Outdoors,6,6,PODIGB: Dig It Garden Box | POTT: Tavolo Table | POLTT: Lungo Tavolo Table | POOMTT: Ombrello Tavolo Table | PONS: Nature Secateurs,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=5, unresolved=1, conflict=0. Top targets: Home & Living > Kitchen & Dining:3, Packaging > Gift Boxes:1, Outdoor & Sports > Camping & Outdoors:1"
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Pants,,,Clothing / Pants,5,5,OTSTP: Twin Stripe Trackpants | OMFP: Microfibre Trackpants | OZP: Zone Trackpants | ONTP: Nylon Trackpants | ORSP: Ripstop Trackpants,product_category_candidate,Apparel,Pants & Shorts,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Fun & Games,Games,,,Fun & Games / Games,5,5,BBYCS: Backyard Cricket Set | BBPTS: Backyard Paddle Tennis Set | BBYCQS: Backyard Croquet Set | BBQS: Backyard Quoits Set | BBYCHS: Backyard Cornhole Set,product_category_candidate,Toys & Games,Games & Puzzles,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,clothing,Shirts,,,clothing / Shirts,4,4,BTY: Barkers Corporate Tyler Shirt – Mens | WBTY: Barkers Corporate Tyler Shirt – Womens | BNO: Barkers Corporate Norfolk Shirt – Mens | WBNO: Barkers Corporate Norfolk Shirt – Womens,product_category_candidate,Apparel,Shirts,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living,Miscellaneous Homeware,,,Home & Living / Miscellaneous Homeware,4,4,PODCS: Decadent Cocktail 10 pcs Set | POEB: Event Ice Bucket | POGTT: Grande Tavolo Table | PORC: Retro Cooler Box,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=3, unresolved=1, conflict=0. Top targets: Barware & Accessories > Bar Accessories:1, Home & Living > Kitchen & Dining:1, Packaging > Gift Boxes:1"
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Wool,,,Clothing / Wool,3,3,OWEGMCI: Merino Contrast Insert Pullover – Womens | OEGMC: Merino Crew Pullover - Mens | OWEGMV: Merino Vest - Womens,product_category_candidate,,,,product_keyword_rules_applied,raw path split at product level,,,,"Product-level cleanup complete. auto=3, unresolved=0, conflict=0. Top targets: Apparel > Sweatshirts:2, Apparel > Vests:1"
Gear For Life,Categorisation + category_ /_ sub category,Keyrings & Tools,Torches,,,Keyrings & Tools / Torches,3,3,IGLPT: LuminaPro Torch | IGFLT: FlexLight Torch | IGOBT: OptiBeam Torch,product_category_candidate,Tools & Auto,Torches & Lights,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,Coolers,,,Leisure & Outdoors / Coolers,3,3,POPIB: Polar Ice 7.2L Bucket | POVCB: Vintage Cooler Box | IGOISB: On-Ice 21L Sound Box,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=2, unresolved=1, conflict=0. Top targets: Packaging > Gift Boxes:2"
Gear For Life,Categorisation + category_ /_ sub category,USB & Tech,Bluetooth Speakers,,,USB & Tech / Bluetooth Speakers,3,3,POLDBS: Lounge Disc Bluetooth Speaker | POTSL: Twilight Speaker Lamp | PORRS: Rhythm and Rug Set,product_category_candidate,Technology,Bluetooth Speakers,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,,,,Clothing,2,2,DGXS: Dri Gear XTF Shorts - Mens | WDGXS: Dri Gear XTF Shorts - Womens,product_category_candidate,Apparel,Pants & Shorts,0.86,auto_mapped_by_keyword,,,,,All 2 products matched one high-confidence target by product keywords: Apparel > Pants & Shorts.
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Hoodies,,,Clothing / Hoodies,2,2,SIVH: smpli Mens Vintage Hoodie | WSIVH: smpli Womens Vintage Hoodie,product_category_candidate,Apparel,Hoodies,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Drinkware,Wine Glasses,,,Drinkware / Wine Glasses,2,2,POSCF: Stemless Champagne Flutes | POSSWG: Stemless Stainless Steel Wine Glass Set,product_category_candidate,Drinkware,Glassware,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living,Bottle Coolers,,,Home & Living / Bottle Coolers,2,2,POVMC: Vino Marble Cooler | POFWC: Freddo Wine Cooler,product_category_candidate,Drinkware,Drink Bottles,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living,Miscaneous homeware,,,Home & Living / Miscaneous homeware,2,2,POEPS: Epicure 6 pcs Placemat Set | POATB: Artisan Tasting Board Set,product_category_candidate,,,,product_keyword_rules_applied,raw path split at product level,,,,"Product-level cleanup complete. auto=2, unresolved=0, conflict=0. Top targets: Home & Living > Cheese & Serving Boards:1, Home & Living > Kitchen & Dining:1"
Gear For Life,Categorisation + category_ /_ sub category,Leisure & outdoors,BBQ Sets,,,Leisure & outdoors / BBQ Sets,2,2,POBT: BBQ Grill Tool Set | PORHBT: Roadhouse BBQ Tongs,product_category_candidate,Outdoor & Sports,Picnic & BBQ,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & outdoors,Blanket,,,Leisure & outdoors / Blanket,2,2,POMLMB: Mt Lodge Merino Blanket | POOPB: Ombrello Picnic Blanket,product_category_candidate,Outdoor & Sports,Blankets,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & outdoors,Picnic Rugs,,,Leisure & outdoors / Picnic Rugs,2,2,BSB: Sports Blanket | POOB: Oasis Outdoor Blanket,product_category_candidate,Outdoor & Sports,Picnic & BBQ,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Coolers,,,Bags / Coolers,1,1,PODCB: Detroit 20L Cooler Box,product_category_candidate,Bags,Cooler Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Sports Bags,,,Bags / Sports Bags,1,1,BCTS: Contrast Gear Sports Bag,product_category_candidate,Bags,Travel & Duffle Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Toiletry Bags,,,Bags / Toiletry Bags,1,1,SIWWK: smpli Wetpac Wash Kit,product_category_candidate,Bags,Toiletry Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,clothing,Scarf,,,clothing / Scarf,1,1,POBMS: Barkers Corporate 100% Merino Scarf,product_category_candidate,Apparel,Scarves & Accessories,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,vests,,,Clothing / vests,1,1,SIGBV: smpli Glide Baffle Vest,product_category_candidate,Apparel,Vests,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Drinkware,Beer Glasses,,,Drinkware / Beer Glasses,1,1,POCBGS: Craft Beer Glass Set,product_category_candidate,Drinkware,Glassware,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Drinkware,Mugs,,,Drinkware / Mugs,1,1,POQES: Quartetto Espresso Set,product_category_candidate,Drinkware,Mugs,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Health & Personal,First Aid Kits,,,Health & Personal / First Aid Kits,1,1,IGSCFAK: SwiftCare First Aid Kit,product_category_candidate,Personal Care,First Aid,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Health & Personal,Towels,,,Health & Personal / Towels,1,1,POPTT: Patara Turkish Towel,product_category_candidate,Outdoor & Sports,Towels,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living,Cooler Bags,,,Home & Living / Cooler Bags,1,1,POHC: Hamptons Cooler,product_category_candidate,Bags,Cooler Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Keyrings & Tools,General Tools,,,Keyrings & Tools / General Tools,1,1,IGBCPK: BladeCraft Pocket Knife,product_category_candidate,Tools & Auto,Multi-Tools,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Keyrings & Tools,Multi Tools,,,Keyrings & Tools / Multi Tools,1,1,IGVGMT: VersaGrip Multi Tool,product_category_candidate,Tools & Auto,Multi-Tools,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Keyrings & Tools,Tool Sets,,,Keyrings & Tools / Tool Sets,1,1,IGGGBO: GearGrid Boot Organiser,product_category_candidate,Tools & Auto,Tool Sets & Screwdrivers,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & outdoors,Picnic Sets,,,Leisure & outdoors / Picnic Sets,1,1,POOFP: Oasis Family Picnic Set,product_category_candidate,Outdoor & Sports,Picnic & BBQ,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Office,Notebooks,,,Office / Notebooks,40,257,LL0941: Andean Notebook | LL0944: Tourist A5 Notebook | LL0946: Trek Notebook | LL0950: Savannah Notebook | LL0951: Savannah Notebook / Matador Pen,product_category_candidate,Office & Desk,Notebooks,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Personal,Face Masks,,,Personal / Face Masks,32,32,LL6019: Travel Safe Pack | LL6021: 5 Pack -  Armour Face Masks | LL6022: 5 Pack - Shield Face Masks | LL6023: Deluxe Face Mask / Hand Sanitiser Pack | LL6024: Armour Face Mask / Hand Sanitiser Pack,product_category_candidate,Personal Care,Face Masks,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Packs & Gifting,Celebrate & Gift,,,Packs & Gifting / Celebrate & Gift,31,239,LL8231: The Classic Pairing | LL8233: The Warm Welcome | LL8313: The Happy Hour | LL8315: The Host Edit | LL8317: The Carry-On Graze,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,gift_set,,,"Product-level cleanup partial. auto=3, unresolved=28, conflict=0. Top targets: Confectionery > Confectionery:2, Bags > Travel & Duffle Bags:1"
Logoline,Collection + Category + SubCategory,Technology,Cables,,,Technology / Cables,30,114,"LL0112: 2 in 1 Nifty USB Cable - Micro, 8 Pin | LL9091: 3 in 1 Combo USB Cable - Micro, 8 Pin, Type C | LL9093: Radius Cable | LL9096: Altona Retractable Cable | LL9099: Reveal Recycled ABS Cable Set",product_category_candidate,Technology,Charging Cables & Chargers,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Drinkware,Drinkware Accessories,,,Drinkware / Drinkware Accessories,26,114,LL0980: Cosy Stainless Steel Drink Cooler | LL201: Skol Bottle Opener / Keytag | LL2014: Evergreen Straw Set | LL2019: Buzz Paper Straws | LL207: Spinner Bottle Opener,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=24, unresolved=2, conflict=0. Top targets: Barware & Accessories > Bottle Openers:9, Barware & Accessories > Bar Accessories:6, Barware & Accessories > Coasters:5, Barware & Accessories > Stubby Holders:2, Barware & Accessories > Wine Accessories:1, Bags > Drawstring Bags:1"
Logoline,Collection + Category + SubCategory,Indent,Indent Tech Accessories,,,Indent / Indent Tech Accessories,23,35,LN0520: Custom Wireless Charger | LN1425: Microfibre Bean Bag Phone Chair / Cleaner | LN605: Screen Cleaning Kit | LN6065: Microfibre Stick Clean 30mm x 30mm | LN6066: Microfibre Stick Clean 35mm Diameter,service_or_fulfillment,,,0.2,fulfillment_service,not a primary category,,,indent_review,Logoline Indent path signals offshore/indent fulfilment. Product type still needs classification.
Logoline,Collection + Category + SubCategory,Technology,Gift Sets,,,Technology / Gift Sets,23,169,LL8211: Symphony Gift Set | LL8212: Destiny Gift Set | LL8214: Alliance Gift Set | LL8215: Bellman Gift Set | LL8218: Ohana Gift Set,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=1, unresolved=22, conflict=0. Top targets: Packaging > Gift Boxes:1"
Logoline,Collection + Category + SubCategory,Office,Pens,"Black Refill,Plastic",,"Office / Pens / Black Refill,Plastic",22,192,LL0468: Gemini Pen | LL0469: Gemini Metallic Pen | LL0470: Aquarius Pen | LL0474: Javelin Pen | LL0714: LED Torch Pen,product_category_candidate,Pens,Ballpoint Pens,0.78,auto_mapped,,,plastic,,"Plastic is material/F page, primary subcategory should stay Ballpoint/Stylus/etc."
Logoline,Collection + Category + SubCategory,Home & Auto,Keytags,,,Home & Auto / Keytags,21,69,LL102: Condo Keytag | LL205: Cheers Bottle Opener / Keytag | LL3519: Arvo Bottle Opener | LL3522: House Bamboo Zinc Keytag | LL3524: Circle Bamboo Zinc Keytag,product_category_candidate,Tools & Auto,Car Accessories,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Personal,Grooming,,,Personal / Grooming,21,105,LL0166: Folding Nail File | LL0335: Bamboo Toothbrush | LL0336: Refresh Travel Pack | LL1047: Spa Bamboo Hair Brush | LL1634: Compact Pop Up Brush / Mirror Set,product_category_candidate,Personal Care,Grooming,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Confectionery,Jelly Beans,,,Confectionery / Jelly Beans,20,52,LL3145: Corporate Colour Mini Jelly Beans | LL31450: Corporate Colour Mini Jelly Beans in 50 Gram Cello Bag | LL3146: Assorted Colour Mini Jelly Beans in Container | LL3147: Assorted Colour Mini Jelly Beans | LL31470: Assorted Colour Mini Jelly Beans in 50 Gram Cello Bag,product_category_candidate,Confectionery,Confectionery,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Novelties,Kids,,,Novelties / Kids,20,70,LL012: Quack PVC Bath Duck | LL2885: Zippy Wooden Yo Yo | LL3015: Ace Hacky Sacks | LL3079: Crazy Bouncing Putty | LL429: Rainbow Spring Thingz,product_category_candidate,Toys & Games,Novelty Toys,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Technology,Tech Accessories,,,Technology / Tech Accessories,20,84,LL0284: Whisper USB Hub | LL0773: Defender Waterproof Pouch | LL1614: Zoom LCD Writing Tablet | LL3436: Phone Grip | LL4834: Digital Luggage Scales,product_category_candidate,Technology,Tech Accessories,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Novelties,Stress Relievers,,,Novelties / Stress Relievers,19,72,LL112: Brain Stress Reliever | LL297: House Stress Reliever | LL3018: Popper Ball | LL350: Transit Van Stress Reliever | LL499: Apple Stress Reliever,product_category_candidate,Toys & Games,Stress Balls & Toys,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Office,Pens,"Black Refill,Metal",,"Office / Pens / Black Refill,Metal",18,174,LL2111: Austin Pen / Stylus | LL2113: Aspen Aluminium Pen | LL3270: Napier Deluxe Pen | LL3271: Napier Pen | LL3272: Napier Pen (Black Edition),product_category_candidate,Pens,Ballpoint Pens,0.78,auto_mapped,,,metal,,"Metal is material/F page, primary subcategory should stay Ballpoint/Stylus/etc."
Logoline,Collection + Category + SubCategory,Technology,Chargers,,,Technology / Chargers,17,77,LL0007: Monza Car Charger | LL0211: Karma Wireless Charger | LL0212: Sonic Wireless Charger | LL0213: Satellite Upright Wireless Charger | LL0214: Neo Wireless Charger,product_category_candidate,Technology,Charging Cables & Chargers,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Drinkware,Coffee Cups,320 mL,,Drinkware / Coffee Cups / 320 mL,16,81,LL0413: Vienna Eco Coffee Cup / Silicone Band | LL0414: Vienna Eco Coffee Cup /  Cork Band | LL0415: Vienna Coffee Cup / Cork Band | LL0427: Vienna Coffee Cup / Silicone Lid | LL0432: Vienna Coffee Cup / Flip Lid,product_category_candidate,Drinkware,Coffee Cups,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Office,Desk Accessories,,,Office / Desk Accessories,16,60,LL1175: Snap Memo Clip | LL15: 30cm Wheatstraw Ruler | LL2698: Crest Magnetic Clip | LL2779: Croc Magnetic Clip | LL3854: Mako Magnetic Clip,product_category_candidate,Office & Desk,Desk Items,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Technology,Speakers,,,Technology / Speakers,16,80,LL9021: Rage  Speaker | LL9445: Rise Bluetooth Speaker / Wireless Charger | LL9446: Jive Speaker | LL9452: Tango Bluetooth Speaker | LL9455: Sound Bar Speaker,product_category_candidate,Technology,Bluetooth Speakers,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Home & Auto,Home Accessories,,,Home & Auto / Home Accessories,15,63,LL1002: Water Saving Shower Timer | LL3350: Napoli Salt & Pepper Grinder | LL3513: Mini Lint Roller | LL6185: Zest Lunch Box / Food Container | LL6370: Hercules Kitchen Scales,product_category_candidate,Tools & Auto,Car Accessories,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Office,Pens,"Black Refill,Enviro",,"Office / Pens / Black Refill,Enviro",15,172,LL200: Matador Cardboard Pen | LL202: Matador Eco Pen | LL2021: Bamboo Pen | LL2033: Aspen Bamboo Pen | LL2035: Aspen Bamboo Pen / Stylus,product_category_candidate,Pens,Ballpoint Pens,0.75,auto_mapped,,,,,Default writing instrument mapping; check rollerball/gel exceptions later.
Logoline,Collection + Category + SubCategory,Drinkware,Coffee Cups,,,Drinkware / Coffee Cups,14,105,LL0395: Merlo Espresso 150g Blend Coffee Beans | LL0396: Merlo Espresso 250g Blend Coffee Beans | LL0400: Sierra 350ml Double Wall Glass Cup | LL0402: Sierra 450ml Double Wall Glass Cup | LL0418: Aroma Eco Cup / Comfort Lid,product_category_candidate,Drinkware,Coffee Cups,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Lifestyle,Pet Products,,,Lifestyle / Pet Products,13,57,LL7601: Pet Water Dispenser Bottle | LL7603: Buddy Collapsible Bowl | LL7605: Pet Food Scoop | LL7607: Zoomy Dog Toy | LL7609: Bone Dog Waste Bag Dispenser,product_category_candidate,Pet,Pet Accessories,0.9,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Lifestyle,Travel,,,Lifestyle / Travel,12,45,LL001: Monte Carlo Luggage Tag | LL3024: Venezia Luggage Tag | LL4632: Corsica Calico / Cork Utility Case | LL4836: Transit Bamboo Luggage Tag | LL4839: Luggage Strap,product_category_candidate,Travel,Travel Accessories,0.7,auto_mapped,,,,,
Logoline,Collection + Category + SubCategory,Office,Gift Sets,,,Office / Gift Sets,12,133,LL6002: Back To School Pack | LL6014: Encore Office Pack | LL6020: Bravo Pack | LL6027: Wellbeing Pack | LL8241: Harmony Gift Set,product_category_candidate,,,0.3,needs_review,office category too broad,,,,No high-confidence product keyword match; keep for manual review.
Logoline,Collection + Category + SubCategory,Bags,Pouches & Utility Cases,,,Bags / Pouches & Utility Cases,11,52,LL4559: Montana RPET Felt Sunglass Pouch | LL517: Harvest Produce Bags in Pouch | LL524: Byron Mesh Produce Bag | LL545: Malibu Handy Utility  Pouch | LL7027: Montana RPET Felt Satchel,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=3, unresolved=8, conflict=0. Top targets: Bags > Tote Bags:1, Bags > Satchel Bags:1, Bags > Travel & Duffle Bags:1"
Logoline,Collection + Category + SubCategory,Technology,Earphones,,,Technology / Earphones,11,39,LL0100: Thump Earbud Set | LL6150: Forte Earbud Set | LL6151: Zen Retractable Earbuds / Headphones | LL6154: Soprano Earbud Set | LL6156: Venom Earbud Set,product_category_candidate,Technology,Earbuds & Headphones,0.86,auto_mapped_by_keyword,,,,,All 11 products matched one high-confidence target by product keywords: Technology > Earbuds & Headphones.
